run_name,epoch,lr,dropout,weight_decay,train_acc,val_acc,overfitting_gap,use_focal_loss,timestamp,subdir,lr_extracted,dropout_extracted,weight_decay_extracted,focal_extracted
lr5e-6_dr0.4_wd5e-4_focal_focal_focal,1,5e-06,0.4,0.0005,52.57,58.05,-5.48,1,2025-08-12 17:35:37,.,5e-06,0.4,0.0005,True
lr5e-6_dr0.3_wd2e-3,1,5e-06,0.3,0.002,54.96,60.77,-5.82,0,2025-08-12 17:35:37,.,5e-06,0.3,0.002,False
lr5e-6_dr0.3_wd2e-3_focal_focal_focal,1,5e-06,0.3,0.002,53.29,57.32,-4.03,1,2025-08-12 17:35:37,.,5e-06,0.3,0.002,True
lr5e-6_dr0.4_wd5e-4,1,5e-06,0.4,0.0005,53.75,58.88,-5.13,0,2025-08-12 17:35:37,.,5e-06,0.4,0.0005,False
lr5e-6_dr0.3_wd1e-3_focal_focal_focal,1,5e-06,0.3,0.001,53.47,58.82,-5.35,1,2025-08-12 17:37:18,.,5e-06,0.3,0.001,True
lr5e-6_dr0.3_wd1e-3,1,5e-06,0.3,0.001,55.47,60.39,-4.92,0,2025-08-12 17:37:18,.,5e-06,0.3,0.001,False
lr5e-6_dr0.3_wd5e-4,1,5e-06,0.3,0.0005,55.33,60.35,-5.02,0,2025-08-12 17:37:18,.,5e-06,0.3,0.0005,False
lr5e-6_dr0.3_wd5e-4_focal_focal_focal,1,5e-06,0.3,0.0005,53.66,57.43,-3.77,1,2025-08-12 17:37:18,.,5e-06,0.3,0.0005,True
lr5e-6_dr0.3_wd2e-3,2,5e-06,0.3,0.002,57.83,61.64,-3.81,0,2025-08-12 17:37:39,.,5e-06,0.3,0.002,False
lr5e-6_dr0.4_wd5e-4_focal_focal_focal,2,5e-06,0.4,0.0005,54.96,58.74,-3.77,1,2025-08-12 17:37:39,.,5e-06,0.4,0.0005,True
lr5e-6_dr0.3_wd2e-3_focal_focal_focal,2,5e-06,0.3,0.002,55.06,58.01,-2.95,1,2025-08-12 17:37:39,.,5e-06,0.3,0.002,True
lr5e-6_dr0.4_wd5e-4,2,5e-06,0.4,0.0005,56.93,61.3,-4.37,0,2025-08-12 17:37:39,.,5e-06,0.4,0.0005,False
lr5e-6_dr0.4_wd5e-4_focal_focal_focal,3,5e-06,0.4,0.0005,55.62,57.85,-2.22,1,2025-08-12 17:39:38,.,5e-06,0.4,0.0005,True
lr5e-6_dr0.4_wd5e-4,3,5e-06,0.4,0.0005,58.27,61.44,-3.17,0,2025-08-12 17:39:38,.,5e-06,0.4,0.0005,False
lr5e-6_dr0.3_wd2e-3,3,5e-06,0.3,0.002,58.66,62.15,-3.49,0,2025-08-12 17:39:38,.,5e-06,0.3,0.002,False
lr5e-6_dr0.3_wd2e-3_focal_focal_focal,3,5e-06,0.3,0.002,55.63,58.51,-2.89,1,2025-08-12 17:39:39,.,5e-06,0.3,0.002,True
lr5e-6_dr0.3_wd1e-3_focal_focal_focal,2,5e-06,0.3,0.001,54.68,59.26,-4.58,1,2025-08-12 17:40:56,.,5e-06,0.3,0.001,True
lr5e-6_dr0.3_wd5e-4,2,5e-06,0.3,0.0005,57.71,62.19,-4.48,0,2025-08-12 17:40:59,.,5e-06,0.3,0.0005,False
