run_name,epoch,lr,dropout,weight_decay,train_acc,val_acc,overfitting_gap,use_focal_loss,timestamp,lr_extracted,dropout_extracted,weight_decay_extracted,focal_extracted
lr5e-6_dr0.3_wd2e-3_focal_focal_focal,97,5e-06,0.3,0.002,80.44,70.82,9.620000000000005,1,2025-08-12 20:45:18,5e-06,0.3,0.002,1
lr5e-6_dr0.4_wd2e-3_focal_focal_focal,83,5e-06,0.4,0.002,69.08,70.64,-1.5600000000000023,1,2025-08-13 00:08:18,5e-06,0.4,0.002,1
lr5e-6_dr0.3_wd5e-4_focal_focal_focal,72,5e-06,0.3,0.0005,69.24,70.52,-1.2800000000000011,1,2025-08-12 21:58:03,5e-06,0.3,0.0005,1
lr5e-6_dr0.4_wd1e-3_focal_focal_focal,104,5e-06,0.4,0.001,75.21,70.52,4.689999999999998,1,2025-08-13 00:11:20,5e-06,0.4,0.001,1
lr5e-6_dr0.5_wd2e-3_focal_focal_focal,101,5e-06,0.5,0.002,72.91,70.52,2.3900000000000006,1,2025-08-13 03:23:13,5e-06,0.5,0.002,1
lr5e-6_dr0.3_wd1e-3_focal_focal_focal,79,5e-06,0.3,0.001,72.7,70.36,2.3400000000000034,1,2025-08-12 22:20:12,5e-06,0.3,0.001,1
lr5e-6_dr0.5_wd1e-3_focal_focal_focal,84,5e-06,0.5,0.001,71.02,70.26,0.7599999999999909,1,2025-08-13 04:32:07,5e-06,0.5,0.001,1
lr5e-6_dr0.3_wd2e-3,65,5e-06,0.3,0.002,69.75,70.04,-0.29000000000000625,0,2025-08-12 19:41:37,5e-06,0.3,0.002,0
lr5e-6_dr0.3_wd5e-4,57,5e-06,0.3,0.0005,71.87,69.98,1.8900000000000006,0,2025-08-12 21:02:35,5e-06,0.3,0.0005,0
lr5e-6_dr0.5_wd5e-4_focal_focal_focal,89,5e-06,0.5,0.0005,69.45,69.96,-0.5099999999999909,1,2025-08-13 01:30:39,5e-06,0.5,0.0005,1
lr5e-6_dr0.5_wd1e-3,52,5e-06,0.5,0.001,69.51,69.92,-0.4099999999999966,0,2025-08-13 02:44:16,5e-06,0.5,0.001,0
lr2e-6_dr0.3_wd5e-4,99,2e-06,0.3,0.0005,69.78,69.9,-0.12000000000000455,0,2025-08-13 08:03:34,2e-06,0.3,0.0005,0
lr5e-6_dr0.3_wd1e-3,54,5e-06,0.3,0.001,71.06,69.79,1.269999999999996,0,2025-08-12 20:52:34,5e-06,0.3,0.001,0
lr5e-6_dr0.4_wd2e-3,52,5e-06,0.4,0.002,69.1,69.61,-0.5100000000000051,0,2025-08-13 01:00:38,5e-06,0.4,0.002,0
lr2e-6_dr0.4_wd5e-4_focal_focal_focal,150,2e-06,0.4,0.0005,66.36,69.59,-3.230000000000004,1,2025-08-13 13:24:43,2e-06,0.4,0.0005,1
lr5e-6_dr0.5_wd5e-4,67,5e-06,0.5,0.0005,70.21,69.57,0.6400000000000006,0,2025-08-13 02:56:37,5e-06,0.5,0.0005,0
lr5e-6_dr0.4_wd5e-4_focal_focal_focal,84,5e-06,0.4,0.0005,71.51,69.55,1.960000000000008,1,2025-08-12 20:19:04,5e-06,0.4,0.0005,1
lr5e-6_dr0.5_wd2e-3,46,5e-06,0.5,0.002,66.97,69.45,-2.480000000000004,0,2025-08-13 02:39:10,5e-06,0.5,0.002,0
lr5e-6_dr0.4_wd5e-4,65,5e-06,0.4,0.0005,69.11,69.43,-0.3200000000000074,0,2025-08-12 19:41:04,5e-06,0.4,0.0005,0
lr2e-6_dr0.3_wd1e-3,109,2e-06,0.3,0.001,71.09,69.25,1.8400000000000034,0,2025-08-13 10:25:07,2e-06,0.3,0.001,0
lr2e-6_dr0.4_wd5e-4,125,2e-06,0.4,0.0005,71.88,69.21,2.6700000000000017,0,2025-08-13 13:06:52,2e-06,0.4,0.0005,0
lr5e-6_dr0.4_wd1e-3,80,5e-06,0.4,0.001,76.91,69.21,7.700000000000003,0,2025-08-12 23:28:48,5e-06,0.4,0.001,0
lr2e-6_dr0.3_wd1e-3_focal_focal_focal,140,2e-06,0.3,0.001,65.21,68.83,-3.6200000000000045,1,2025-08-13 07:13:00,2e-06,0.3,0.001,1
lr2e-6_dr0.3_wd2e-3,97,2e-06,0.3,0.002,67.47,68.58,-1.1099999999999994,0,2025-08-13 07:10:24,2e-06,0.3,0.002,0
lr2e-6_dr0.4_wd2e-3_focal_focal_focal,150,2e-06,0.4,0.002,64.56,68.58,-4.019999999999996,1,2025-08-13 13:08:48,2e-06,0.4,0.002,1
lr2e-6_dr0.3_wd5e-4_focal_focal_focal,150,2e-06,0.3,0.0005,67.29,68.56,-1.269999999999996,1,2025-08-13 06:24:15,2e-06,0.3,0.0005,1
lr2e-6_dr0.3_wd2e-3_focal_focal_focal,110,2e-06,0.3,0.002,64.94,68.22,-3.280000000000001,1,2025-08-13 07:34:45,2e-06,0.3,0.002,1
lr2e-6_dr0.4_wd1e-3,101,2e-06,0.4,0.001,67.06,68.2,-1.1400000000000006,0,2025-08-13 10:59:04,2e-06,0.4,0.001,0
