epoch,loss,linear_probe_accuracy
1,0.545101,0.5260
2,0.484646,0.5300
3,0.463341,0.5480
4,0.440398,0.5520
5,0.421521,0.5580
6,0.410628,0.5587
7,0.401103,0.5527
8,0.393774,0.5540
9,0.390098,0.5527
10,0.387082,0.5560
11,0.386518,0.5447
12,0.383952,0.5453
13,0.381532,0.5480
14,0.382040,0.5447
15,0.379562,0.5500
16,0.377694,0.5553
17,0.377311,0.5533
18,0.374143,0.5573
19,0.371076,0.5540
20,0.369057,0.5480
21,0.367212,0.5407
22,0.363384,0.5493
23,0.361395,0.5487
24,0.359236,0.5440
25,0.356916,0.5420
26,0.354891,0.5400
27,0.354305,0.5447
28,0.354008,0.5393
29,0.353313,0.5427
30,0.352206,0.5427
