,id_,pre_id,post_id,dist_to_post_syn_soma,dist_to_pre_syn_soma,size,center_position,synapses_depth_in_post,synapses_depth_in_pre,compartment_in_post_syn_soma,compartment_in_pre_syn_soma,pre_clf_type,pre_cell_type,pre_m_type,post_clf_type,post_cell_type,post_mtype_type
0,119033551,864691135937341493,864691136065916056,82.83645056152343,208.39195175170897,1760,[38228.5   39521.      489.325],-1.0,-1.0,3.0,3.0,E,4P,L4a,E,23P,L3b
1,148413546,864691135462232221,864691135570028422,99.54041186523438,119.3324878501892,180,[171240. 174772.  18454.],-1.0,-1.0,3.0,2.0,I,MC,DTC,E,5P-IT,L5a
2,98771565,864691135865646812,864691136602819281,78.69147241210938,184.9391273803711,3192,[139034. 157792.  23783.],-1.0,-1.0,3.0,3.0,E,4P,L3b,E,4P,L4a
3,106087908,864691135341533105,864691136274518797,31.739110412597658,125.79975628662108,2924,[35807.75  43370.75    555.075],-1.0,-1.0,3.0,2.0,E,4P,L4b,E,4P,L4c
4,366875240,864691135323690908,864691135716036634,158.44179270935058,205.7354060897827,8232,[74919.5   51794.      594.025],-1.0,-1.0,3.0,3.0,E,6P-IT,L6short-a,E,6P-IT,L6short-a
5,210247390,864691135888778633,864691135013517814,20.67987359619141,305.41397927856445,6576,[207898. 195424.  25480.],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,5P-IT,L5ET
6,288495063,864691135942589812,864691136904073138,37.9220775756836,389.0764164733887,3840,[257187. 158522.  21606.],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,4P,L4b
7,271990586,864691135618295183,864691135475685952,91.54100770568849,454.6303260498047,3236,[243618. 181634.  24501.],-1.0,-1.0,3.0,2.0,E,23P,L2a,E,5P-IT,L5a
8,208926828,864691135374753353,864691136091430580,98.3268586730957,272.8088313293457,8824,[207404. 118808.  24118.],-1.0,-1.0,3.0,2.0,I,MC,PTC,E,23P,L2a
9,175901605,864691135569771654,864691136009444012,68.23035038757324,107.07070443725586,10608,[46602.5   42911.      577.525],-1.0,-1.0,3.0,2.0,E,4P,L4b,E,4P,L4c
10,188838048,864691135082756087,864691135429423346,313.965929107666,341.367173242569,13996,[48508.5  36867.25   573.55],-1.0,-1.0,3.0,2.0,I,BPC,ITC,E,6P-CT,L6tall-a
11,204155059,864691135701233531,864691136850794094,101.71098376464845,140.67830485534668,8620,[50956.   52335.5    430.25],-1.0,-1.0,3.0,2.0,E,5P-IT,L5b,E,5P-IT,L6tall-a
12,437300212,864691135731505081,864691135976532035,84.62437759399414,211.91351092529297,2376,[86833.    24511.      525.725],-1.0,-1.0,3.0,2.0,I,MC,DTC,E,23P,L2b
13,363685954,864691134886037498,864691135816354383,89.64165698242188,475.5615184020997,2308,[75146.5  29314.     480.15],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,23P,L3a
14,98654869,864691136144451124,864691135731236025,79.55828372192383,160.92670173645018,1516,[140074. 145512.  18060.],-1.0,-1.0,3.0,3.0,E,23P,L2c,E,23P,L3b
15,401169870,864691136236688143,864691135691965844,97.46574353027344,279.0752139587402,4864,[80254.    54460.      615.725],-1.0,-1.0,3.0,3.0,E,6P-IT,L6tall-c,E,6P-CT,L6tall-a
16,111775832,864691135338120678,864691136444160899,44.67068511962891,258.8343962860108,4180,[150184. 154106.  24205.],-1.0,-1.0,3.0,2.0,E,4P,L4a,E,4P,L4b
17,335280699,864691136522400401,864691135272968977,42.53888049316407,19.913667175292968,2352,[285556.  96392.  27405.],-1.0,-1.0,3.0,3.0,E,23P,L2a,E,23P,L2b
18,365120071,864691135736296084,864691136723481085,147.33991998291015,177.25548362731934,1892,[75558.    33949.5     636.925],-1.0,-1.0,3.0,2.0,I,MC,DTC,E,4P,L4a
19,286628535,864691135274512357,864691135755362514,71.84733799743653,381.79508395385744,7912,[250276. 196354.  23949.],-1.0,-1.0,3.0,2.0,E,23P,L3b,E,5P-IT,L6tall-a
20,195936632,864691136389083767,864691136578529812,72.33199060058594,119.31757977294922,3016,[49322.5  41503.5    656.35],-1.0,-1.0,3.0,2.0,E,4P,L4a,I,BC,PTC
21,89352738,864691136487987474,864691136176212230,172.53859870147704,248.4487877807617,23296,[137926. 189964.  24216.],-1.0,-1.0,3.0,2.0,E,4P,L4a,E,5P-ET,L5ET
22,448402087,864691136371070856,864691135582559341,64.5735234375,256.3733335571289,364,[348734. 133178.  15798.],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,4P,L3b
23,308907413,864691135684662002,864691135701418619,0.0,159.82562210845947,2300,[67229.5  42146.     536.15],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,5P-IT,L4c
24,270290313,864691136040221182,864691137020518510,98.1595965576172,174.4246201171875,13612,[242330. 234548.  21299.],-1.0,-1.0,3.0,3.0,E,6P-IT,L6tall-c,E,6P-IT,L6tall-c
25,257362376,864691136109839288,864691135866577285,64.28440606689453,86.43134619140625,384,[236138. 146555.  17265.],-1.0,-1.0,3.0,3.0,E,23P,L3b,E,23P,L3b
26,178476278,864691136618400141,864691136274006718,55.47923882675171,179.02209812927245,6156,[191778. 178585.  23312.],-1.0,-1.0,3.0,2.0,E,4P,L4c,E,5P-IT,L4c
27,361179588,864691135294137868,864691136116180388,59.45045300292968,415.2776598358154,1576,[297586. 229882.  19699.],-1.0,-1.0,3.0,3.0,E,6P-IT,L6short-a,E,6P-CT,L6tall-a
28,453879512,864691135754673357,864691136009061806,84.74988549804688,362.1390307006836,6584,[354936. 247526.  22615.],-1.0,-1.0,3.0,3.0,E,6P-IT,L6short-a,I,BC,PTC
29,365920563,864691135495183504,864691135307800902,82.80066046142578,630.1151923713684,3592,[299778. 158496.  25198.],-1.0,-1.0,3.0,2.0,E,5P-IT,L5a,E,4P,L4b
30,347276916,864691135841478627,864691135294151692,10.2664755859375,264.447032989502,4864,[288992. 148186.  23643.],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,4P,L4a
31,375923041,864691136903052978,864691135738329201,24.135158203125,176.7912341003418,1276,[309226. 106012.  21916.],-1.0,-1.0,3.0,2.0,I,MC,DTC,E,23P,L2a
32,461487062,864691136673192839,864691135749021225,43.662354553222656,314.116213684082,1772,[359598. 172380.  19893.],-1.0,-1.0,3.0,3.0,E,23P,L2c,I,BC,PTC
33,387938561,864691135693509823,864691136176211462,72.80936541748046,410.366139755249,4500,[312752. 223368.  27094.],-1.0,-1.0,3.0,2.0,E,4P,L4a,I,BC,PTC
34,110002798,864691135807487005,864691136009361068,13.325378967285156,268.3488021392822,1792,[149490. 120362.  18328.],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,23P,L2b
35,257403719,864691135476575144,864691136912658673,108.69837832641602,23.35866943359375,3068,[233616. 109182.  25324.],-1.0,-1.0,3.0,3.0,E,23P,L2a,E,23P,L2a
36,83376394,864691136310140762,864691136812675699,100.3290262451172,102.08140997314452,1148,[132840. 167526.  26977.],-1.0,-1.0,3.0,3.0,E,4P,L4a,E,4P,L4b
37,179651071,864691135509075465,864691135498123716,16.1085458984375,344.6029753494263,15864,[191231. 127901.  15784.],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,23P,L3b
38,181068153,864691135849077854,864691136009466284,13.628665649414062,236.1559601440429,7340,[47171.25 31061.75   585.85],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,23P,L2c
39,136835575,864691135539374450,864691136012312227,91.67598070526122,159.3693805847168,3992,[165784. 109242.  22328.],-1.0,-1.0,3.0,2.0,I,MC,DTC,E,23P,L2a
40,103890328,864691136091986100,864691136274579213,118.6138025970459,66.65259356689454,4460,[145712. 197833.  22100.],-1.0,-1.0,3.0,3.0,E,5P-ET,L5ET,E,5P-IT,L5b
41,215331414,864691135502608450,864691136362418402,269.8859018859863,266.6202413368225,8864,[52202.    35358.5     662.175],-1.0,-1.0,3.0,2.0,E,23P,L3a,E,5P-ET,L5ET
42,252006224,864691135123576103,864691135355568079,80.74354156494141,426.2978456420898,1784,[229220. 150805.  22897.],-1.0,-1.0,3.0,2.0,I,MC,DTC,E,4P,L4b
43,342486128,864691135560774625,864691136812696179,18.16932165527344,285.7563364562988,4040,[289765. 123908.  17039.],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,23P,L3a
44,437345227,864691135987382787,864691136005811658,67.70346817016602,351.90568523406984,2212,[343776. 144808.  18584.],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,4P,L3b
45,213018326,864691135497885459,864691136090899892,64.97886474609375,585.8182043457032,3968,[209150. 150134.  27510.],-1.0,-1.0,3.0,2.0,I,MC,DTC,E,4P,L4a
46,269279053,864691136673181063,864691135477356968,86.55035223388671,154.806040435791,284,[241364. 201644.  21218.],-1.0,-1.0,3.0,3.0,E,5P-ET,L5ET,I,BC,PTC
47,28211061,864691135758672206,864691135510482640,147.91746221923827,306.67916345214843,8204,[101647. 175162.  19873.],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,5P-IT,L4c
48,493829319,864691135786182596,864691135675473650,21.070015174865723,198.0329617614746,8876,[381651. 180927.  23794.],-1.0,-1.0,3.0,2.0,E,5P-IT,L5a,E,5P-ET,L5a
49,318195205,864691137055081078,864691135759290446,34.378254333496095,383.6328307914734,5176,[67792.5   39827.      416.325],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,4P,L4a
50,318234176,864691135947011876,864691135472691762,92.3031219482422,377.3363797149658,3244,[271042. 149196.  19718.],-1.0,-1.0,3.0,2.0,I,MC,DTC,E,4P,L4b
51,292274895,864691135501553730,864691135429487920,77.4356478881836,690.2510293159485,19428,[64280.    40502.25    496.525],-1.0,-1.0,3.0,2.0,E,23P,L2a,E,5P-IT,L4c
52,339206600,864691135014359446,864691135135934745,64.9472553100586,143.46541329956054,6788,[70837.   34195.     603.35],-1.0,-1.0,3.0,2.0,E,23P,L3a,I,MC,DTC
53,202161283,864691135594647851,864691135463144861,93.70661895751954,295.92765927124026,6852,[203687. 176177.  16904.],-1.0,-1.0,3.0,2.0,I,BC,DTC,E,4P,L4b
54,248468089,864691135339103718,864691135498607379,117.5233117980957,391.3140647315979,3052,[57420.5   47452.      435.975],-1.0,-1.0,3.0,2.0,E,23P,L3a,E,5P-IT,L5a
55,351850145,864691135940366849,864691136194188520,192.2574969177246,236.9080022735596,5520,[73414.25  51068.5     531.025],-1.0,-1.0,3.0,2.0,E,5P-IT,L5a,I,MC,ITC
56,240751525,864691135526056027,864691135938534453,66.48196878051758,403.19376014709474,2872,[228194. 138282.  21542.],-1.0,-1.0,3.0,2.0,I,MC,PTC,E,23P,L3a
57,370512036,864691135491135335,864691135976002115,163.617341217041,95.1670258026123,4172,[306198. 182662.  25078.],-1.0,-1.0,3.0,2.0,I,BC,DTC,E,5P-ET,L5b
58,177700177,864691134886279418,864691135610308871,42.18243487548828,275.83295068359377,2556,[47710.75  34304.5     644.475],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,4P,L3b
59,366688971,864691135684464823,864691135118761437,86.64895483398438,210.30574478149413,1828,[299622. 196138.  22905.],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,6P-CT,L6tall-a
60,94593679,864691134965447967,864691136237896252,274.2391185760498,297.9947527313232,3908,[34939.75  50371.25    588.575],-1.0,-1.0,3.0,2.0,E,23P,L3b,I,BPC,ITC
61,500026415,864691135866963478,864691135754444493,92.8043203125,146.3487021484375,1636,[97446.    34925.75    596.875],-1.0,-1.0,3.0,2.0,I,BC,DTC,E,4P,L4a
62,53132567,864691134947693308,864691135100403744,154.90557647705077,898.4087114715576,8960,[28743.5  41964.     554.95],-1.0,-1.0,3.0,2.0,E,6P-IT,L6tall-b,E,5P-ET,L5ET
63,403748690,864691135571814381,864691136117229476,10.8213857421875,432.9743867492676,5760,[325574.  96371.  22501.],-1.0,-1.0,2.0,2.0,I,BC,PTC,E,23P,L2a
64,68423124,864691136106775001,864691136989951125,46.51459143066406,672.0849476318359,9116,[122186. 218826.  24382.],-1.0,-1.0,3.0,2.0,E,23P,L3a,E,5P-IT,L5b
65,66569802,864691135737744260,864691135387339137,289.7836041259766,264.434277923584,7500,[124710. 191092.  18919.],-1.0,-1.0,3.0,2.0,E,4P,L4a,E,5P-ET,L6tall-a
66,309045804,864691135876949843,864691136194733032,106.22845977783204,230.5241846370697,1596,[267734. 113902.  19521.],-1.0,-1.0,3.0,2.0,I,MC,DTC,E,23P,L3a
67,118184386,864691135257056687,864691135278930337,28.968720825195312,196.6010652770996,876,[153864. 262804.  21736.],-1.0,-1.0,3.0,3.0,E,6P-CT,L6tall-c,E,6P-IT,L6tall-c
68,51937043,864691135428771632,864691135725038507,16.758877685546874,185.62318048095705,1480,[114936. 121016.  18687.],-1.0,-1.0,3.0,2.0,I,BC,DTC,E,23P,L2b
69,384886973,864691136108938168,864691135181775874,64.3515712890625,477.5358264465332,15912,[78087.    30700.      654.075],-1.0,-1.0,3.0,2.0,E,23P,L3a,E,23P,L3a
70,75662782,864691135618500239,864691136020309240,63.46828863525391,413.3685520782471,4944,[32245.    57401.5     654.625],-1.0,-1.0,3.0,2.0,E,6P-IT,L6tall-c,E,6P-IT,L6short-a
71,475460601,864691135772147195,864691136990940565,201.88637524414065,583.7196035461426,1424,[364994. 230330.  22559.],-1.0,-1.0,3.0,2.0,E,5P-IT,L5a,I,BC,PTC
72,355041011,864691135501866562,864691135952504867,172.1129633178711,275.0310779037476,188,[291528. 179552.  22717.],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,5P-NP,L5NP
73,240510368,864691135947607137,864691136617693403,13.04553515625,296.2422371826172,344,[225006. 122014.  23775.],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,23P,L2c
74,313946132,864691136391381119,864691135700132898,132.61359721374512,629.56444190979,10096,[267181. 230000.  24515.],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,6P-IT,L6short-b
75,288669271,864691136118809880,864691135404639726,35.719638916015626,324.16569837188723,8616,[252762. 252376.  25305.],-1.0,-1.0,3.0,3.0,E,6P-IT,L6short-b,E,6P-CT,L6tall-b
